champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
266,Aatrox,JUNGLE,v2_timeseries_7_15,27,13,8,0.123288,False,2026-06-05T14:02:39+00:00
266,Aatrox,MIDDLE,v2_timeseries_7_15,5,3,0,0.022831,False,2026-06-05T14:02:39+00:00
266,Aatrox,TOP,v2_timeseries_7_15,187,92,35,0.853881,True,2026-06-05T14:02:39+00:00
103,Ahri,MIDDLE,v2_timeseries_7_15,335,181,58,0.985294,True,2026-06-05T14:02:39+00:00
103,Ahri,TOP,v2_timeseries_7_15,3,2,1,0.008824,False,2026-06-05T14:02:39+00:00
103,Ahri,UTILITY,v2_timeseries_7_15,2,1,0,0.005882,False,2026-06-05T14:02:39+00:00
84,Akali,MIDDLE,v2_timeseries_7_15,234,102,35,0.698507,True,2026-06-05T14:02:39+00:00
84,Akali,TOP,v2_timeseries_7_15,101,61,12,0.301493,False,2026-06-05T14:02:39+00:00
166,Akshan,MIDDLE,v2_timeseries_7_15,55,22,11,0.982143,True,2026-06-05T14:02:39+00:00
166,Akshan,TOP,v2_timeseries_7_15,1,0,0,0.017857,False,2026-06-05T14:02:39+00:00
12,Alistar,TOP,v2_timeseries_7_15,1,0,1,0.00813,False,2026-06-05T14:02:39+00:00
12,Alistar,UTILITY,v2_timeseries_7_15,122,59,22,0.99187,True,2026-06-05T14:02:39+00:00
799,Ambessa,JUNGLE,v2_timeseries_7_15,97,34,18,0.395918,False,2026-06-05T14:02:39+00:00
799,Ambessa,MIDDLE,v2_timeseries_7_15,11,5,3,0.044898,False,2026-06-05T14:02:39+00:00
799,Ambessa,TOP,v2_timeseries_7_15,137,65,26,0.559184,True,2026-06-05T14:02:39+00:00
32,Amumu,JUNGLE,v2_timeseries_7_15,12,7,3,0.461538,True,2026-06-05T14:02:39+00:00
32,Amumu,TOP,v2_timeseries_7_15,2,1,0,0.076923,False,2026-06-05T14:02:39+00:00
32,Amumu,UTILITY,v2_timeseries_7_15,12,5,3,0.461538,False,2026-06-05T14:02:39+00:00
34,Anivia,BOTTOM,v2_timeseries_7_15,2,1,0,0.015625,False,2026-06-05T14:02:39+00:00
34,Anivia,MIDDLE,v2_timeseries_7_15,84,41,12,0.65625,True,2026-06-05T14:02:39+00:00
34,Anivia,TOP,v2_timeseries_7_15,18,9,2,0.140625,False,2026-06-05T14:02:39+00:00
34,Anivia,UTILITY,v2_timeseries_7_15,24,7,6,0.1875,False,2026-06-05T14:02:39+00:00
1,Annie,MIDDLE,v2_timeseries_7_15,45,26,8,0.849057,True,2026-06-05T14:02:39+00:00
1,Annie,TOP,v2_timeseries_7_15,2,1,1,0.037736,False,2026-06-05T14:02:39+00:00
1,Annie,UTILITY,v2_timeseries_7_15,6,5,0,0.113208,False,2026-06-05T14:02:39+00:00
523,Aphelios,BOTTOM,v2_timeseries_7_15,259,127,54,0.98855,True,2026-06-05T14:02:39+00:00
523,Aphelios,MIDDLE,v2_timeseries_7_15,1,0,0,0.003817,False,2026-06-05T14:02:39+00:00
523,Aphelios,TOP,v2_timeseries_7_15,2,1,0,0.007634,False,2026-06-05T14:02:39+00:00
22,Ashe,BOTTOM,v2_timeseries_7_15,302,151,61,0.964856,True,2026-06-05T14:02:39+00:00
22,Ashe,TOP,v2_timeseries_7_15,1,0,1,0.003195,False,2026-06-05T14:02:39+00:00
22,Ashe,UTILITY,v2_timeseries_7_15,10,6,0,0.031949,False,2026-06-05T14:02:39+00:00
136,AurelionSol,BOTTOM,v2_timeseries_7_15,10,6,0,0.181818,False,2026-06-05T14:02:39+00:00
136,AurelionSol,MIDDLE,v2_timeseries_7_15,44,26,7,0.8,True,2026-06-05T14:02:39+00:00
136,AurelionSol,TOP,v2_timeseries_7_15,1,0,0,0.018182,False,2026-06-05T14:02:39+00:00
893,Aurora,MIDDLE,v2_timeseries_7_15,106,50,19,0.828125,True,2026-06-05T14:02:39+00:00
893,Aurora,TOP,v2_timeseries_7_15,21,12,2,0.164062,False,2026-06-05T14:02:39+00:00
893,Aurora,UTILITY,v2_timeseries_7_15,1,0,1,0.007812,False,2026-06-05T14:02:39+00:00
268,Azir,MIDDLE,v2_timeseries_7_15,99,41,14,0.961165,True,2026-06-05T14:02:39+00:00
268,Azir,TOP,v2_timeseries_7_15,4,4,0,0.038835,False,2026-06-05T14:02:39+00:00
432,Bard,UTILITY,v2_timeseries_7_15,191,79,36,1.0,True,2026-06-05T14:02:39+00:00
200,Belveth,JUNGLE,v2_timeseries_7_15,30,14,6,0.833333,True,2026-06-05T14:02:39+00:00
200,Belveth,MIDDLE,v2_timeseries_7_15,1,1,0,0.027778,False,2026-06-05T14:02:39+00:00
200,Belveth,TOP,v2_timeseries_7_15,5,1,1,0.138889,False,2026-06-05T14:02:39+00:00
53,Blitzcrank,JUNGLE,v2_timeseries_7_15,1,0,1,0.004608,False,2026-06-05T14:02:39+00:00
53,Blitzcrank,UTILITY,v2_timeseries_7_15,216,108,34,0.995392,True,2026-06-05T14:02:39+00:00
63,Brand,BOTTOM,v2_timeseries_7_15,2,2,0,0.027027,False,2026-06-05T14:02:39+00:00
63,Brand,JUNGLE,v2_timeseries_7_15,7,6,0,0.094595,False,2026-06-05T14:02:39+00:00
63,Brand,MIDDLE,v2_timeseries_7_15,18,11,1,0.243243,False,2026-06-05T14:02:39+00:00
63,Brand,TOP,v2_timeseries_7_15,7,2,2,0.094595,False,2026-06-05T14:02:39+00:00
63,Brand,UTILITY,v2_timeseries_7_15,40,18,10,0.540541,True,2026-06-05T14:02:39+00:00
201,Braum,UTILITY,v2_timeseries_7_15,229,130,27,1.0,True,2026-06-05T14:02:39+00:00
233,Briar,JUNGLE,v2_timeseries_7_15,87,36,16,0.915789,True,2026-06-05T14:02:39+00:00
233,Briar,MIDDLE,v2_timeseries_7_15,4,1,2,0.042105,False,2026-06-05T14:02:39+00:00
233,Briar,TOP,v2_timeseries_7_15,3,1,1,0.031579,False,2026-06-05T14:02:39+00:00
233,Briar,UTILITY,v2_timeseries_7_15,1,0,1,0.010526,False,2026-06-05T14:02:39+00:00
51,Caitlyn,BOTTOM,v2_timeseries_7_15,315,157,51,0.996835,True,2026-06-05T14:02:39+00:00
51,Caitlyn,UTILITY,v2_timeseries_7_15,1,1,0,0.003165,False,2026-06-05T14:02:39+00:00
164,Camille,JUNGLE,v2_timeseries_7_15,5,3,1,0.04902,False,2026-06-05T14:02:39+00:00
164,Camille,MIDDLE,v2_timeseries_7_15,1,0,0,0.009804,False,2026-06-05T14:02:39+00:00
164,Camille,TOP,v2_timeseries_7_15,76,39,10,0.745098,True,2026-06-05T14:02:39+00:00
164,Camille,UTILITY,v2_timeseries_7_15,20,12,2,0.196078,False,2026-06-05T14:02:39+00:00
69,Cassiopeia,BOTTOM,v2_timeseries_7_15,10,1,5,0.163934,False,2026-06-05T14:02:39+00:00
69,Cassiopeia,MIDDLE,v2_timeseries_7_15,34,13,9,0.557377,True,2026-06-05T14:02:39+00:00
69,Cassiopeia,TOP,v2_timeseries_7_15,15,13,0,0.245902,False,2026-06-05T14:02:39+00:00
69,Cassiopeia,UTILITY,v2_timeseries_7_15,2,2,0,0.032787,False,2026-06-05T14:02:39+00:00
31,Chogath,JUNGLE,v2_timeseries_7_15,1,0,1,0.033333,False,2026-06-05T14:02:39+00:00
31,Chogath,MIDDLE,v2_timeseries_7_15,8,4,3,0.266667,False,2026-06-05T14:02:39+00:00
31,Chogath,TOP,v2_timeseries_7_15,14,7,3,0.466667,True,2026-06-05T14:02:39+00:00
31,Chogath,UTILITY,v2_timeseries_7_15,7,1,2,0.233333,False,2026-06-05T14:02:39+00:00
42,Corki,BOTTOM,v2_timeseries_7_15,42,23,8,0.724138,True,2026-06-05T14:02:39+00:00
42,Corki,MIDDLE,v2_timeseries_7_15,14,9,2,0.241379,False,2026-06-05T14:02:39+00:00
42,Corki,TOP,v2_timeseries_7_15,1,0,0,0.017241,False,2026-06-05T14:02:39+00:00
42,Corki,UTILITY,v2_timeseries_7_15,1,0,0,0.017241,False,2026-06-05T14:02:39+00:00
122,Darius,JUNGLE,v2_timeseries_7_15,3,1,2,0.026549,False,2026-06-05T14:02:39+00:00
122,Darius,TOP,v2_timeseries_7_15,110,49,17,0.973451,True,2026-06-05T14:02:39+00:00
131,Diana,JUNGLE,v2_timeseries_7_15,70,38,12,0.414201,False,2026-06-05T14:02:39+00:00
131,Diana,MIDDLE,v2_timeseries_7_15,91,49,18,0.538462,True,2026-06-05T14:02:39+00:00
131,Diana,TOP,v2_timeseries_7_15,8,2,3,0.047337,False,2026-06-05T14:02:39+00:00
36,DrMundo,JUNGLE,v2_timeseries_7_15,19,10,4,0.231707,False,2026-06-05T14:02:39+00:00
36,DrMundo,TOP,v2_timeseries_7_15,61,31,10,0.743902,True,2026-06-05T14:02:39+00:00
36,DrMundo,UTILITY,v2_timeseries_7_15,2,1,1,0.02439,False,2026-06-05T14:02:39+00:00
119,Draven,BOTTOM,v2_timeseries_7_15,64,33,10,0.955224,True,2026-06-05T14:02:39+00:00
119,Draven,MIDDLE,v2_timeseries_7_15,1,0,0,0.014925,False,2026-06-05T14:02:39+00:00
119,Draven,TOP,v2_timeseries_7_15,2,1,0,0.029851,False,2026-06-05T14:02:39+00:00
245,Ekko,BOTTOM,v2_timeseries_7_15,1,1,0,0.00578,False,2026-06-05T14:02:39+00:00
245,Ekko,JUNGLE,v2_timeseries_7_15,113,53,17,0.653179,True,2026-06-05T14:02:39+00:00
245,Ekko,MIDDLE,v2_timeseries_7_15,54,34,7,0.312139,False,2026-06-05T14:02:39+00:00
245,Ekko,TOP,v2_timeseries_7_15,4,3,0,0.023121,False,2026-06-05T14:02:39+00:00
245,Ekko,UTILITY,v2_timeseries_7_15,1,0,1,0.00578,False,2026-06-05T14:02:39+00:00
60,Elise,JUNGLE,v2_timeseries_7_15,50,33,8,0.490196,True,2026-06-05T14:02:39+00:00
60,Elise,TOP,v2_timeseries_7_15,2,1,1,0.019608,False,2026-06-05T14:02:39+00:00
60,Elise,UTILITY,v2_timeseries_7_15,50,23,5,0.490196,False,2026-06-05T14:02:39+00:00
28,Evelynn,JUNGLE,v2_timeseries_7_15,31,15,3,1.0,True,2026-06-05T14:02:39+00:00
81,Ezreal,BOTTOM,v2_timeseries_7_15,753,365,133,0.938903,True,2026-06-05T14:02:39+00:00
81,Ezreal,MIDDLE,v2_timeseries_7_15,3,1,0,0.003741,False,2026-06-05T14:02:39+00:00
81,Ezreal,TOP,v2_timeseries_7_15,3,1,0,0.003741,False,2026-06-05T14:02:39+00:00
81,Ezreal,UTILITY,v2_timeseries_7_15,43,18,9,0.053616,False,2026-06-05T14:02:39+00:00
9,FiddleSticks,JUNGLE,v2_timeseries_7_15,31,17,3,0.574074,True,2026-06-05T14:02:39+00:00
9,FiddleSticks,MIDDLE,v2_timeseries_7_15,3,2,1,0.055556,False,2026-06-05T14:02:39+00:00
9,FiddleSticks,TOP,v2_timeseries_7_15,6,4,1,0.111111,False,2026-06-05T14:02:39+00:00
9,FiddleSticks,UTILITY,v2_timeseries_7_15,14,6,4,0.259259,False,2026-06-05T14:02:39+00:00
114,Fiora,TOP,v2_timeseries_7_15,87,50,11,1.0,True,2026-06-05T14:02:39+00:00
105,Fizz,JUNGLE,v2_timeseries_7_15,20,7,4,0.175439,False,2026-06-05T14:02:39+00:00
105,Fizz,MIDDLE,v2_timeseries_7_15,89,42,13,0.780702,True,2026-06-05T14:02:39+00:00
105,Fizz,TOP,v2_timeseries_7_15,4,3,0,0.035088,False,2026-06-05T14:02:39+00:00
105,Fizz,UTILITY,v2_timeseries_7_15,1,0,0,0.008772,False,2026-06-05T14:02:39+00:00
3,Galio,MIDDLE,v2_timeseries_7_15,143,77,25,0.861446,True,2026-06-05T14:02:39+00:00
3,Galio,TOP,v2_timeseries_7_15,5,4,0,0.03012,False,2026-06-05T14:02:39+00:00
3,Galio,UTILITY,v2_timeseries_7_15,18,10,1,0.108434,False,2026-06-05T14:02:39+00:00
41,Gangplank,MIDDLE,v2_timeseries_7_15,2,0,0,0.016807,False,2026-06-05T14:02:39+00:00
41,Gangplank,TOP,v2_timeseries_7_15,117,58,26,0.983193,True,2026-06-05T14:02:39+00:00
86,Garen,MIDDLE,v2_timeseries_7_15,11,6,3,0.113402,False,2026-06-05T14:02:39+00:00
86,Garen,TOP,v2_timeseries_7_15,86,38,12,0.886598,True,2026-06-05T14:02:39+00:00
150,Gnar,BOTTOM,v2_timeseries_7_15,1,0,1,0.006803,False,2026-06-05T14:02:39+00:00
150,Gnar,TOP,v2_timeseries_7_15,146,82,26,0.993197,True,2026-06-05T14:02:39+00:00
79,Gragas,JUNGLE,v2_timeseries_7_15,15,7,3,0.185185,False,2026-06-05T14:02:39+00:00
79,Gragas,MIDDLE,v2_timeseries_7_15,1,1,0,0.012346,False,2026-06-05T14:02:39+00:00
79,Gragas,TOP,v2_timeseries_7_15,61,31,11,0.753086,True,2026-06-05T14:02:39+00:00
79,Gragas,UTILITY,v2_timeseries_7_15,4,0,0,0.049383,False,2026-06-05T14:02:39+00:00
104,Graves,JUNGLE,v2_timeseries_7_15,314,170,48,0.984326,True,2026-06-05T14:02:39+00:00
104,Graves,TOP,v2_timeseries_7_15,5,4,0,0.015674,False,2026-06-05T14:02:39+00:00
887,Gwen,JUNGLE,v2_timeseries_7_15,34,17,9,0.365591,False,2026-06-05T14:02:39+00:00
887,Gwen,MIDDLE,v2_timeseries_7_15,1,0,0,0.010753,False,2026-06-05T14:02:39+00:00
887,Gwen,TOP,v2_timeseries_7_15,58,35,7,0.623656,True,2026-06-05T14:02:39+00:00
120,Hecarim,JUNGLE,v2_timeseries_7_15,93,41,17,1.0,True,2026-06-05T14:02:39+00:00
74,Heimerdinger,MIDDLE,v2_timeseries_7_15,5,3,2,0.106383,False,2026-06-05T14:02:39+00:00
74,Heimerdinger,TOP,v2_timeseries_7_15,30,17,5,0.638298,True,2026-06-05T14:02:39+00:00
74,Heimerdinger,UTILITY,v2_timeseries_7_15,12,4,4,0.255319,False,2026-06-05T14:02:39+00:00
910,Hwei,BOTTOM,v2_timeseries_7_15,3,0,0,0.032967,False,2026-06-05T14:02:39+00:00
910,Hwei,MIDDLE,v2_timeseries_7_15,77,29,17,0.846154,True,2026-06-05T14:02:39+00:00
910,Hwei,UTILITY,v2_timeseries_7_15,11,5,5,0.120879,False,2026-06-05T14:02:39+00:00
420,Illaoi,MIDDLE,v2_timeseries_7_15,2,1,0,0.042553,False,2026-06-05T14:02:39+00:00
420,Illaoi,TOP,v2_timeseries_7_15,45,22,7,0.957447,True,2026-06-05T14:02:39+00:00
39,Irelia,BOTTOM,v2_timeseries_7_15,4,1,2,0.018957,False,2026-06-05T14:02:39+00:00
39,Irelia,MIDDLE,v2_timeseries_7_15,77,33,12,0.364929,False,2026-06-05T14:02:39+00:00
39,Irelia,TOP,v2_timeseries_7_15,130,56,25,0.616114,True,2026-06-05T14:02:39+00:00
427,Ivern,JUNGLE,v2_timeseries_7_15,16,8,3,0.551724,True,2026-06-05T14:02:39+00:00
427,Ivern,MIDDLE,v2_timeseries_7_15,1,0,1,0.034483,False,2026-06-05T14:02:39+00:00
427,Ivern,TOP,v2_timeseries_7_15,4,3,0,0.137931,False,2026-06-05T14:02:39+00:00
427,Ivern,UTILITY,v2_timeseries_7_15,8,7,0,0.275862,False,2026-06-05T14:02:39+00:00
40,Janna,UTILITY,v2_timeseries_7_15,31,14,3,1.0,True,2026-06-05T14:02:39+00:00
59,JarvanIV,JUNGLE,v2_timeseries_7_15,166,86,29,0.932584,True,2026-06-05T14:02:39+00:00
59,JarvanIV,MIDDLE,v2_timeseries_7_15,1,1,0,0.005618,False,2026-06-05T14:02:39+00:00
59,JarvanIV,TOP,v2_timeseries_7_15,3,0,1,0.016854,False,2026-06-05T14:02:39+00:00
59,JarvanIV,UTILITY,v2_timeseries_7_15,8,5,1,0.044944,False,2026-06-05T14:02:39+00:00
24,Jax,JUNGLE,v2_timeseries_7_15,31,13,9,0.158163,False,2026-06-05T14:02:39+00:00
24,Jax,MIDDLE,v2_timeseries_7_15,1,0,0,0.005102,False,2026-06-05T14:02:39+00:00
24,Jax,TOP,v2_timeseries_7_15,164,92,22,0.836735,True,2026-06-05T14:02:39+00:00
126,Jayce,JUNGLE,v2_timeseries_7_15,109,62,16,0.340625,False,2026-06-05T14:02:39+00:00
126,Jayce,MIDDLE,v2_timeseries_7_15,29,14,5,0.090625,False,2026-06-05T14:02:39+00:00
126,Jayce,TOP,v2_timeseries_7_15,182,86,43,0.56875,True,2026-06-05T14:02:39+00:00
202,Jhin,BOTTOM,v2_timeseries_7_15,427,207,80,0.983871,True,2026-06-05T14:02:39+00:00
202,Jhin,MIDDLE,v2_timeseries_7_15,1,0,0,0.002304,False,2026-06-05T14:02:39+00:00
202,Jhin,TOP,v2_timeseries_7_15,4,2,0,0.009217,False,2026-06-05T14:02:39+00:00
202,Jhin,UTILITY,v2_timeseries_7_15,2,0,2,0.004608,False,2026-06-05T14:02:39+00:00
222,Jinx,BOTTOM,v2_timeseries_7_15,329,173,51,1.0,True,2026-06-05T14:02:39+00:00
897,KSante,MIDDLE,v2_timeseries_7_15,3,1,0,0.017241,False,2026-06-05T14:02:39+00:00
897,KSante,TOP,v2_timeseries_7_15,166,75,28,0.954023,True,2026-06-05T14:02:39+00:00
897,KSante,UTILITY,v2_timeseries_7_15,5,1,2,0.028736,False,2026-06-05T14:02:39+00:00
145,Kaisa,BOTTOM,v2_timeseries_7_15,561,279,92,0.980769,True,2026-06-05T14:02:39+00:00
145,Kaisa,JUNGLE,v2_timeseries_7_15,3,1,2,0.005245,False,2026-06-05T14:02:39+00:00
145,Kaisa,MIDDLE,v2_timeseries_7_15,5,3,0,0.008741,False,2026-06-05T14:02:39+00:00
145,Kaisa,TOP,v2_timeseries_7_15,3,2,1,0.005245,False,2026-06-05T14:02:39+00:00
429,Kalista,BOTTOM,v2_timeseries_7_15,32,10,9,0.888889,True,2026-06-05T14:02:39+00:00
429,Kalista,MIDDLE,v2_timeseries_7_15,1,0,1,0.027778,False,2026-06-05T14:02:39+00:00
429,Kalista,TOP,v2_timeseries_7_15,3,0,1,0.083333,False,2026-06-05T14:02:39+00:00
